Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Minuten,Tore,Vorlagen,Gelbe Karten,Rote Karten,Expected Goals,Expected Assists,Erfolgreiche Dribblings,Erfolgreiche Pässe,Potential,Größe,Gewicht,Starker Fuß,Beidfüßigkeit,Skill-Moves,Internationaler Ruf,Arbeitsrate,Schnelligkeit,Schießen,Passen,Dribbling,Verteidigung,Physis,xGoalDiff
18,Keita Baldé,Left Winger,23,30.0,Senegal,Monaco,Ligue 1,Inter,Serie A,1473.0,8.0,5.0,3.0,1.0,5.4,2.3,57.0,32.0,85,181,80,Right,4,4,2,High/Low,92.0,76.0,72.0,83.0,29.0,70.0,2.5999999999999996
18,Michy Batshuayi,Centre-Forward,25,30.0,Belgium,Chelsea,Premier League,Crystal Palace,Premier League,360.0,2.0,1.0,0.0,0.0,1.1,0.1,9.0,8.0,85,185,78,Right,5,4,2,Medium/Low,76.0,81.0,59.0,78.0,33.0,72.0,0.8999999999999999
18,Mateo Kovacic,Central Midfield,24,30.0,Croatia,Real Madrid,LaLiga,Chelsea,Premier League,992.0,0.0,1.0,2.0,0.0,0.4,0.4,27.0,81.0,89,178,78,Right,4,4,3,High/High,79.0,69.0,82.0,86.0,69.0,72.0,-0.4
18,Abdou Diallo,Centre-Back,22,12.0,Senegal,1.FSV Mainz 05,Bundesliga,Bor. Dortmund,Bundesliga,2415.0,2.0,1.0,5.0,0.0,2.3,0.2,30.0,100.0,86,186,79,Left,3,3,1,High/Medium,73.0,37.0,68.0,72.0,78.0,77.0,-0.2999999999999998
18,Bernd Leno,Goalkeeper,26,20.0,Germany,B. Leverkusen,Bundesliga,Arsenal,Premier League,2970.0,0.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,87,190,83,Right,4,1,3,Medium/Medium,,,,,,,0.0
18,Jannik Vestergaard,Centre-Back,25,14.0,Denmark,Bor. M'gladbach,Bundesliga,Southampton,Premier League,2880.0,3.0,0.0,5.0,0.0,1.9,0.9,10.0,114.0,81,199,98,Right,4,2,2,Medium/Medium,38.0,49.0,62.0,47.0,82.0,79.0,1.1
18,James Maddison,Attacking Midfield,21,10.0,England,Norwich,Championship,Leicester,Premier League,3630.0,14.0,8.0,7.0,0.0,,,,,83,175,73,Right,4,4,1,High/Medium,74.0,73.0,75.0,76.0,39.0,48.0,
18,Rodri,Defensive Midfield,22,25.0,Spain,Villarreal,LaLiga,Atlético Madrid,LaLiga,3227.0,1.0,3.0,8.0,0.0,1.5,1.7,28.0,208.0,87,191,82,Right,3,4,1,Medium/High,68.0,69.0,75.0,78.0,76.0,75.0,-0.5
18,Paulinho,Left Winger,18,25.0,Brazil,Vasco da Gama,Série A,B. Leverkusen,Bundesliga,1078.0,3.0,1.0,2.0,0.0,,,,,85,181,81,Right,3,3,3,High/High,73.0,81.0,77.0,81.0,79.0,84.0,
18,Tanguy Ndombélé,Central Midfield,21,25.0,France,Amiens SC,Ligue 1,Olympique Lyon,Ligue 1,236.0,0.0,0.0,0.0,0.0,0.3,0.1,12.0,17.0,87,181,76,Right,3,4,1,High/High,80.0,66.0,75.0,83.0,70.0,77.0,-0.3
18,Bryan Cristante,Defensive Midfield,23,25.0,Italy,Atalanta BC,Serie A,AS Roma,Serie A,2824.0,9.0,2.0,4.0,0.0,8.2,4.9,63.0,212.0,86,186,78,Right,3,3,2,Medium/Medium,60.0,70.0,76.0,76.0,69.0,68.0,0.8000000000000007
18,Giovani Lo Celso,Central Midfield,22,30.0,Argentina,Paris SG,Ligue 1,Real Betis,LaLiga,1776.0,4.0,3.0,2.0,0.0,2.8,1.9,65.0,147.0,86,175,70,Left,3,3,1,High/Medium,74.0,74.0,79.0,81.0,64.0,70.0,1.2000000000000002
18,Emre Can,Defensive Midfield,24,30.0,Germany,Liverpool,Premier League,Juventus,Serie A,2091.0,3.0,4.0,8.0,0.0,1.8,3.0,84.0,137.0,85,184,82,Right,4,3,2,High/High,71.0,68.0,77.0,77.0,80.0,83.0,1.2
18,Kevin Strootman,Central Midfield,28,28.0,Netherlands,AS Roma,Serie A,Marseille,Ligue 1,2258.0,1.0,1.0,4.0,0.0,2.7,1.5,41.0,211.0,83,186,78,Left,3,3,3,Medium/High,66.0,72.0,81.0,77.0,79.0,80.0,-1.7000000000000002
18,Lautaro Martínez,Centre-Forward,20,25.0,Argentina,Racing Club,Superliga,Inter,Serie A,1782.0,13.0,4.0,4.0,0.0,11.2,4.0,47.0,34.0,86,175,79,Right,4,4,1,High/Medium,83.0,77.0,60.0,78.0,37.0,81.0,1.8000000000000007
18,Issa Diop,Centre-Back,21,22.0,France,Toulouse,Ligue 1,West Ham,Premier League,3060.0,3.0,0.0,8.0,0.0,2.0,0.6,14.0,106.0,86,194,92,Right,3,2,2,Medium/Medium,60.0,31.0,50.0,49.0,76.0,79.0,1.0
18,Simone Verdi,Attacking Midfield,25,25.0,Italy,Bologna,Serie A,Napoli,Serie A,2827.0,10.0,8.0,2.0,0.0,7.8,6.5,93.0,114.0,81,171,61,Left,5,4,2,High/Medium,87.0,73.0,81.0,85.0,48.0,55.0,2.2
18,William Carvalho,Defensive Midfield,26,25.0,Portugal,Sporting CP,Liga NOS,Real Betis,LaLiga,2128.0,1.0,2.0,3.0,0.0,,,,,86,187,83,Right,4,3,3,Medium/Medium,51.0,55.0,79.0,75.0,82.0,84.0,
