clubID,fifa_club
coventry,coventrycity
paradou,
ajaxu21,ajax
milanu19,milan
palermo,palermo
chicago,chicagofire
portsmouth,portsmouth
lask,slaskwrocaw
lagalaxy,lagalaxy
heidenheim,heidenheim
bsad,
realzaragoza,realzaragoza
jregensburg,jahnregensburg
holsteinkiel,holsteinkiel
norrkoping,norrkoping
juventusu23,juventus
waaslandbeveren,waaslandbeveren
lyngbybkyouth,lyngby
scpaderborn,paderborn
interu19,inter
atleticohuila,atleticohuila
nkdomzaleu17,
fcsb,fcsb
kssamara,
sportingcpu23,sportingcp
manutdu23,
piastgliwice,piastgliwice
pontepreta,
padova,padova
excelsior,excelsior
gambaosaka,gambaosaka
fcbayernii,fcbayernmunchen
teamvaudu18,
leixoesu23,
brommapojkarna,brommapojkarna
lbchateauroux,chateauroux
fcportob,porto
adodenhaag,adodenhaag
ebraunschweig,eintrachtbraunschweig
barcelonasc,fcbarcelona
fctokyo,tokyo
cdcruzazul,cruzazul
pescarau19,pescara
shimizuspulse,shimizuspulse
fcstgallen,stgallen
liverpoolu23,liverpool
philadelphia,philadelphiaunion
dynamomoscow,
csucraiova,
trespassos,
catalleres,tallerescordoba
rostov,
coritibafc,coritiba
gremiou20,gremio
wolfsbergerac,wolfsbergerac
bodglimt,bodglimt
kvmechelen,mechelen
millonarios,millonarios
lausannesport,lausannesport
nklokomotiva,
monacob,monaco
marseilleb,olympiquedemarseille
lecce,lecce
asterastripoli,
lanus,lanus
necnijmegen,nec
stabk,stabk
lemansfc,lemansfc
bragab,bragantino
cdmirandes,mirandes
godoycruz,godoycruz
1fcmagdeburg,magdeburg
sarpsborg08,sarpsborg08
nacbreda,nacbreda
unterhaching,unterhaching
evertonu23,everton
bocajuniorsii,bocajuniors
fcdinamo,
toluca,toluca
altaysk,altay
acpisa,pisa
vflosnabruck,osnabruck
heartofmidl,hearts
silkeborgif,silkeborg
rajacasablanca,
alnasr,alnassr
udechile,universidaddechile
spartaks,spartakmoskva
speziacalcio,spezia
acajaccio,ajaccio
herthabscu19,herthabsc
denizlispor,denizlispor
lyngbybk,lyngby
yokohamafm,yokohamafmarinos
wsgtirol,wsgtirol
rosenborg,rosenborg
blackburn,blackburnrovers
rangers,rangers
bjguoan,
shport,sportinglokeren
fcvolendam,fcvolendam
unionsg,unionsantafe
dcunited,dcunited
kansascity,sportingkansascity
unampumas,
ohleuven,ohleuven
rakow,cracoviakrakow
atlnacional,elnacional
cerroporteno,cerroporteno
rosariocentral,rosariocentral
royalantwerp,antwerp
portimonense,portimonense
ferencvaros,ferencvaros
romau19,roma
boavista,boavista
