clubID,stats_club
blackburn,blackburn
rangers,angers
bjguoan,
shport,sportrecife
fcvolendam,volendam
unionsg,unionsg
dcunited,dcunited
kansascity,
unampumas,
ohleuven,ohleuven
rakow,wisakrakow
atlnacional,nacional
cerroporteno,
rosariocentral,rosariocentral
royalantwerp,antwerp
portimonense,portimonense
ferencvaros,
romau19,roma
boavista,boavista
vejlebk,vejlebk
kayserispor,kayserispor
utrechtu21,utrecht
dinamotbilisi,
odensebk,odense
envigado,
kawasakifront,
nordsjaellu19,
slobratislava,
altinordu,
liverpoolfc,liverpool
valerenga,
pordenone,pordenone
fehervar,
colorado,coloradorapids
ohiggins,
admirawacker,admira
monza,monza
orlando,orlandocity
karagumruk,fatihkaragumruk
sportrecife,sportrecife
wydadac,
dunajskastreda,
frosinone,frosinone
mancityu21,
dinamobatumi,
libertad,
botafogo,botafogorj
newengland,england
monterrey,
gilvicente,gilvicentefc
hammarby,hammarby
aberdeenfc,
racing,racingclub
aik,aikstockholm
jubiloiwata,jubiloiwata
lommelsk,
fcjuarez,
famalicao,famalicao
asecmimosas,
minnesota,minnesotautd
westhamu21,westham
hibernianfc,
juvenextgen,
realsociedadb,realsociedadb
ucatolica,
stalmielec,stalmielec
pisa,pisa
valmiera,almeria
fclugano,lugano
parisfc,parisfc
blackpool,blackpool
alsadd,
bogotafc,
slaskwroclaw,slaskwrocaw
mpetahtikva,
chaves,chaves
karlsruhersc,karlsruher
colocolo,colon
kalbafc,
austin,austin
astonvillau21,astonvilla
scdnipro1,
cincinnati,fccincinnati
rbbragantino,braga
aarhusgf,
americamg,americamg
charlotte,charlotte
rwdm,rwdmolenbeek
hatayspor,hatayspor
fktsc,
imtbelgrad,
barcaatletic,
lillestrm,lille
hacken,hacken
sivasspor,sivasspor
cerclebrugge,cerclebrugge
bdortmundii,dortmund
gimnasia,gimnasialp
platense,platense
fortunasittard,fortunasittard
fcvfarul,
rcdespanyolb,espanyol
elfsborg,elfsborg
servettefc,servettefc
arislimassol,
cremonese,cremonese
adanademirspor,adanademirspor
fcrapid,
colon,colon
catanzaro,catanzaro
farrabat,
defensa,defensayjust
wehenwiesbaden,wehen
ankaragucu,ankaragucu
cfrcluj,
