Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
20,Anthony Musaba,Right Winger,19,2.5,Netherlands,Monaco,Ligue 1,Cercle Brugge,JPL,loan transfer
20,Leo Østigård,Centre-Back,20,2.5,Norway,Brighton,Premier League,Coventry,Championship,loan transfer
20,Lorenzo De Silvestri,Right-Back,32,2.5,Italy,Torino,Serie A,Bologna,Serie A,free transfer
20,Duane Holmes,Right Midfield,26,2.5,United States,Derby,Championship,Huddersfield,Championship,?
20,Mehrdad Mohammadi,Right Winger,26,2.5,Iran,Desportivo Aves,Without Club,Al-Arabi SC,Stars League,free transfer
20,Lorenzo Melgarejo,Left Winger,30,2.5,Paraguay,Spartak Moscow,Premier Liga,Racing Club,Copa de la Liga,free transfer
20,Olarenwaju Kayode,Centre-Forward,27,2.5,Nigeria,Shakhtar D.,Premier Liga,Sivasspor,Süper Lig,loan transfer
20,Luther Singh,Left Winger,23,2.5,South Africa,SC Braga,Liga NOS,Paços Ferreira,Liga NOS,loan transfer
20,Mauro Laínez,Left Winger,24,2.5,Mexico,Club Tijuana,Liga MX Apertura,América,Liga MX Apertura,loan transfer
20,Fabrício,Centre-Forward,30,2.5,Brazil,Urawa Reds,J1 League,Portimonense,Liga NOS,loan transfer
20,Germán Conti,Centre-Back,26,2.5,Argentina,Benfica,Liga NOS,EC Bahia,Série A,loan transfer
20,Kristijan Bistrovic,Central Midfield,22,2.5,Croatia,CSKA Moscow,Premier Liga,Kasimpasa,Süper Lig,loan transfer
20,Jaime Gómez,Right-Back,26,2.5,Mexico,Querétaro FC,Liga MX Apertura,Club Tijuana,Liga MX Apertura,?
20,Santiago Rodríguez,Attacking Midfield,21,2.5,Uruguay,Mvd City Torque,Primera División Clausura,New York City,MLS,loan transfer
20,Wil Trapp,Defensive Midfield,27,2.5,United States,Miami,MLS,Minnesota,MLS,free transfer
20,Lorenzo Reyes,Defensive Midfield,29,2.5,Chile,Atlas,Liga MX Apertura,Mazatlán FC,Liga MX Apertura,?
20,Neil Etheridge,Goalkeeper,30,2.4,Philippines,Cardiff,Championship,Birmingham,Championship,€2.22m
20,Marçal,Left-Back,31,2.4,Brazil,Olympique Lyon,Ligue 1,Wolves,Premier League,€2.00m
20,Lorenzo Tonelli,Centre-Back,30,2.4,Italy,Napoli,Serie A,Sampdoria,Serie A,€2.00m
20,Ben Davies,Centre-Back,25,2.4,England,Preston,Championship,Liverpool,Premier League,€1.85m
20,Juan Brunetta,Attacking Midfield,23,2.4,Argentina,Godoy Cruz,Copa de la Liga,Parma,Serie A,Loan fee:€1.50m
20,Kemal Ademi,Centre-Forward,24,2.4,Switzerland,FC Basel,Super League,Fenerbahce,Süper Lig,€1.39m
20,Pablo Santos,Centre-Back,28,2.5,Brazil,SC Braga,Liga NOS,Hatayspor,Süper Lig,loan transfer
20,Isaac Kiese Thelin,Centre-Forward,28,2.5,Sweden,RSC Anderlecht,JPL,Kasimpasa,Süper Lig,loan transfer
20,Rodney Redes,Right Winger,20,2.5,Paraguay,Austin,Without Club,Guaraní,Primera División Clausura,loan transfer
20,Igor Smolnikov,Right-Back,31,2.5,Russia,Zenit S-Pb,Premier Liga,Krasnodar,Premier Liga,free transfer
20,Ventura Alvarado,Centre-Back,27,2.5,United States,Necaxa,Liga MX Apertura,San Luis,Liga MX Apertura,?
20,Saphir Taïder,Central Midfield,28,2.5,Algeria,Montréal,MLS,Al-Ain,Saudi Pro League,?
20,Toni Sunjic,Centre-Back,32,9.5,Bosnia-Herzegovina,BJ Guoan,Super League,HN SS Longmen,Super League,€2.42m
20,Lucas Torró,Defensive Midfield,26,2.4,Spain,E. Frankfurt,Bundesliga,CA Osasuna,LaLiga,€2.00m
20,Majeed Waris,Second Striker,28,2.4,Ghana,FC Porto B,Liga Portugal 2,R. Strasbourg,Ligue 1,€2.00m
20,Cristian Lema,Centre-Back,30,2.4,Argentina,Benfica,Liga NOS,Damac FC,Saudi Pro League,€2.00m
20,Marius Bülter,Left Winger,27,2.4,Germany,1.FC Magdeburg,3. Liga,Union Berlin,Bundesliga,€1.50m
20,Ricardo Centurión,Left Winger,27,2.4,Argentina,Racing Club,Copa de la Liga,Vélez Sarsfield,Copa de la Liga,€1.40m
20,Claudio Bravo,Left-Back,23,2.4,Argentina,Banfield,Liga Profesional,Portland,MLS,€1.36m
20,Pascal Stenzel,Right-Back,24,2.4,Germany,SC Freiburg,Bundesliga,VfB Stuttgart,Bundesliga,€1.30m
20,Thomas Kaminski,Goalkeeper,27,2.4,Belgium,KAA Gent,JPL,Blackburn,Championship,€500k
20,Jhonder Cádiz,Centre-Forward,25,2.4,Venezuela,Benfica,Liga NOS,Nashville,MLS,Loan fee:€500k
20,Ryan Manning,Left-Back,24,2.4,Ireland,QPR,Championship,Swansea,Championship,€278k
20,Lucas Menossi,Central Midfield,28,2.4,Argentina,San Lorenzo,Liga Profesional,Tigre,Primera Nacional,Loan fee:€150k
20,Pajtim Kasami,Central Midfield,28,2.4,Switzerland,FC Sion,Super League,FC Basel,Super League,free transfer
20,Simon Terodde,Centre-Forward,32,2.4,Germany,1.FC Köln,Bundesliga,Hamburger SV,2. Bundesliga,free transfer
20,Gabriel Fernández,Centre-Forward,26,2.4,Uruguay,Celta de Vigo,LaLiga,Real Zaragoza,2ª División,loan transfer
20,Joe Hart,Goalkeeper,33,2.4,England,Burnley,Premier League,Tottenham,Premier League,free transfer
20,Rómulo Otero,Attacking Midfield,27,2.4,Venezuela,Atlético-MG,Série A,Corinthians,Série A,loan transfer
20,Bryan Linssen,Centre-Forward,29,2.4,Netherlands,Vitesse,Eredivisie,Feyenoord,Eredivisie,free transfer
20,Yvon Mvogo,Goalkeeper,26,2.4,Switzerland,RB Leipzig,Bundesliga,PSV Eindhoven,Eredivisie,loan transfer
20,Diego Pituca,Central Midfield,28,2.4,Brazil,Santos,Série A,Kashima Antlers,J1 League,€1.33m
20,Konstantinos Mavropanos,Centre-Back,22,2.4,Greece,Arsenal,Premier League,VfB Stuttgart,Bundesliga,Loan fee:€750k
20,Lucas Pratto,Centre-Forward,32,2.4,Argentina,River Plate,Liga Profesional,Feyenoord,Eredivisie,Loan fee:€500k
20,Baptiste Reynet,Goalkeeper,29,2.4,France,Toulouse,Ligue 2,Nîmes Olympique,Ligue 1,€350k
20,Guido Herrera,Goalkeeper,28,2.4,Argentina,CA Talleres,Copa de la Liga,Y. Malatyaspor,Süper Lig,Loan fee:€223k
