Saison,Spieler,Position,Alter,Marktwert,Nationalität,Abgebender Verein,Abgebende Liga,Aufnehmender Verein,Aufnehmende Liga,Ablöse
17,Juan Fernando Quintero,Attacking Midfield,25,3.5,Colombia,FC Porto,Liga NOS,River Plate,Superliga,Loan fee:€500k
17,Carlos Salcedo,Centre-Back,23,3.5,Mexico,Chivas,Liga MX Apertura,E. Frankfurt,Bundesliga,Loan fee:€450k
17,Aiden McGeady,Left Winger,31,3.5,Ireland,Everton,Premier League,Sunderland,Championship,€280k
17,Ervin Zukanovic,Centre-Back,30,3.5,Bosnia-Herzegovina,AS Roma,Serie A,Genoa,Serie A,loan transfer
17,Jonathan Menéndez,Left Winger,23,3.5,Argentina,CA Talleres,Superliga,Independiente,Superliga,€2.40m
17,Pedro Santos,Right Winger,29,3.5,Portugal,SC Braga,Liga NOS,Columbus Crew,MLS,€2.00m
17,Cyle Larin,Centre-Forward,22,3.5,Canada,Orlando,MLS,Besiktas,Süper Lig,€1.85m
17,Craig Gardner,Central Midfield,30,3.5,England,West Brom,Premier League,Birmingham,Championship,€1.75m
17,Graham Dorrans,Central Midfield,30,3.5,Scotland,Norwich,Championship,Rangers,Premiership,€1.50m
17,Luís Neto,Centre-Back,29,3.5,Portugal,Zenit S-Pb,Premier Liga,Fenerbahce,Süper Lig,Loan fee:€1.00m
17,Vieirinha,Right-Back,31,3.5,Portugal,VfL Wolfsburg,Bundesliga,PAOK Salonika,Super League 1,€1.00m
17,Aderllan Santos,Centre-Back,28,3.5,Brazil,Valencia,LaLiga,São Paulo,Série A,Loan fee:€800k
17,Konstantinos Stafylidis,Left-Back,24,3.5,Greece,FC Augsburg,Bundesliga,Stoke City,Premier League,Loan fee:€600k
17,Miler Bolaños,Attacking Midfield,27,3.5,Ecuador,Grêmio,Série A,Club Tijuana,Liga MX Apertura,Loan fee:€460k
17,Federico Viviani,Defensive Midfield,25,3.5,Italy,Hellas Verona,Serie A,SPAL,Serie A,Loan fee:€400k
17,Mehmet Ekici,Attacking Midfield,27,3.5,Türkiye,Trabzonspor,Süper Lig,Fenerbahce,Süper Lig,free transfer
17,Oscar Hiljemark,Central Midfield,25,3.5,Sweden,Genoa,Serie A,Panathinaikos,Super League 1,loan transfer
17,Callum McManaman,Right Winger,26,3.5,England,West Brom,Premier League,Sunderland,Championship,free transfer
17,Willy Boly,Centre-Back,26,3.5,Cote d'Ivoire,FC Porto,Liga NOS,Wolves,Championship,loan transfer
17,Lee Tomlin,Second Striker,29,3.5,England,Cardiff,Championship,Nottm Forest,Championship,loan transfer
17,Gino Peruzzi,Right-Back,25,3.5,Argentina,Boca Juniors,Superliga,Nacional,Primera División Clausura,loan transfer
17,Riccardo Orsolini,Right Winger,21,3.5,Italy,Juventus,Serie A,Bologna,Serie A,loan transfer
17,Maurício,Defensive Midfield,28,3.5,Brazil,Zenit S-Pb,Premier Liga,PAOK Salonika,Super League 1,free transfer
17,Yoan Gouffran,Left Winger,31,3.5,France,Newcastle,Premier League,Göztepe,Süper Lig,free transfer
17,Ivelin Popov,Attacking Midfield,30,3.5,Bulgaria,Spartak Moscow,Premier Liga,Rubin Kazan,Premier Liga,loan transfer
17,Josué,Attacking Midfield,26,3.5,Portugal,FC Porto,Liga NOS,Osmanlispor FK,Süper Lig,free transfer
17,Alessio da Cruz,Attacking Midfield,20,1.0,Cape Verde,Novara,Serie B,Parma,Serie B,€3.48m
17,Rossi,Right Winger,24,5.0,Brazil,Chapecoense,Série A,SZ FC,League One,€3.40m
17,Magomed Ozdoev,Defensive Midfield,25,3.0,Russia,Rubin Kazan,Premier Liga,Zenit S-Pb,Premier Liga,€3.30m
17,Ashley Fletcher,Centre-Forward,22,3.5,England,Middlesbrough,Championship,Sunderland,Championship,loan transfer
17,Sergi Samper,Defensive Midfield,22,3.5,Spain,Barcelona,LaLiga,UD Las Palmas,LaLiga,loan transfer
17,Jack Colback,Defensive Midfield,28,3.5,England,Newcastle,Premier League,Nottm Forest,Championship,loan transfer
17,Riccardo Orsolini,Right Winger,20,3.5,Italy,Juventus,Serie A,Atalanta BC,Serie A,loan transfer
17,Adrián López,Centre-Forward,29,3.5,Spain,FC Porto,Liga NOS,Dep. La Coruña,LaLiga,loan transfer
17,Paul Baysse,Centre-Back,29,3.5,France,OGC Nice,Ligue 1,Málaga CF,LaLiga,free transfer
17,Castro,Central Midfield,29,3.5,Portugal,Kasimpasa,Süper Lig,Göztepe,Süper Lig,free transfer
17,Kenneth Vermeer,Goalkeeper,32,3.5,Netherlands,Feyenoord,Eredivisie,Club Brugge,JPL,loan transfer
17,Fedor Kudryashov,Left-Back,30,3.5,Russia,Rostov,Premier Liga,Rubin Kazan,Premier Liga,?
17,Tunay Torun,Right Winger,27,3.5,Türkiye,Kasimpasa,Süper Lig,Basaksehir,Süper Lig,free transfer
17,Cyrus Christie,Right-Back,25,2.0,Ireland,Middlesbrough,Championship,Fulham,Championship,€3.40m
17,José Manuel Arnáiz,Left Winger,22,1.0,Spain,Real Valladolid,2ª División,Barcelona B,2ª División,€3.40m
17,Stephen Kingsley,Left-Back,23,7.5,Scotland,Swansea,Premier League,Hull City,Championship,€3.30m
17,Nikica Jelavic,Centre-Forward,32,3.0,Croatia,BJ Renhe,Super League,GZ Hengfeng,Super League,€3.30m
17,Bruno Zuculini,Defensive Midfield,24,1.7,Argentina,Hellas Verona,Serie A,River Plate,Superliga,€3.25m
17,Fernando Gaibor,Defensive Midfield,26,1.6,Ecuador,CS Emelec,Serie A Segunda Etapa,Independiente,Superliga,€3.25m
17,Volkan Şen,Left Winger,30,3.25,Türkiye,Fenerbahce,Süper Lig,Trabzonspor,Süper Lig,free transfer
17,Cyril Théréau,Centre-Forward,34,1.5,France,Udinese Calcio,Serie A,Fiorentina,Serie A,€3.20m
17,Esteban Rolón,Defensive Midfield,22,0.75,Argentina,Argentinos Jrs.,Superliga,Málaga CF,LaLiga,€3.20m
17,Senna Miangue,Centre-Back,20,1.8,Belgium,Inter,Serie A,Cagliari Calcio,Serie A,€3.20m
17,Ibragim Tsallagov,Defensive Midfield,26,3.2,Russia,Zenit S-Pb,Premier Liga,Dinamo Moscow,Premier Liga,loan transfer
17,Franco Armani,Goalkeeper,31,1.6,Argentina,Atl. Nacional,Liga DIMAYOR II,River Plate,Superliga,€3.15m
17,Rui Fonte,Centre-Forward,27,3.0,Portugal,SC Braga,Liga NOS,Fulham,Championship,€9.13m
17,João Queirós,Centre-Back,19,1.5,Portugal,Braga U19,Without Club,1.FC Köln,Bundesliga,€3.00m
17,Alexandru Maxim,Attacking Midfield,26,2.5,Romania,VfB Stuttgart,Bundesliga,1.FSV Mainz 05,Bundesliga,€3.00m
17,Jon Toral,Attacking Midfield,22,1.5,Spain,Arsenal U23,Premier League 2,Hull City,Championship,€3.30m
17,Nenad Tomović,Centre-Back,30,3.3,Serbia,Fiorentina,Serie A,Chievo Verona,Serie A,Loan fee:€300k
17,Maxime Colin,Right-Back,25,1.5,France,Brentford,Championship,Birmingham,Championship,€3.25m
17,Lionel Carole,Left-Back,26,3.25,France,Galatasaray,Süper Lig,Sevilla FC,LaLiga,Loan fee:€350k
17,Volkan Şen,Left Winger,30,3.25,Türkiye,Trabzonspor,Süper Lig,Konyaspor,Süper Lig,free transfer
17,Ryan Shotton,Centre-Back,28,7.5,England,Birmingham,Championship,Middlesbrough,Championship,€3.20m
17,Achraf Bencharki,Left Winger,23,1.0,Morocco,Wydad AC,Botola Pro Inwi,Al-Hilal,Saudi Pro League,€3.20m
17,Alberto Grassi,Defensive Midfield,22,3.2,Italy,Napoli,Serie A,SPAL,Serie A,Loan fee:€250k
17,Léo Bonatini,Centre-Forward,23,3.2,Brazil,Al-Hilal,Saudi Pro League,Wolves,Championship,loan transfer
17,Onel Hernández,Left Winger,24,8.0,Cuba,E. Braunschweig,2. Bundesliga,Norwich,Championship,€3.10m
17,Simon Terodde,Centre-Forward,29,3.0,Germany,VfB Stuttgart,Bundesliga,1.FC Köln,Bundesliga,€3.00m
17,Sergio Gómez,Right Winger,17,0,Spain,Barça U19,Without Club,Bor. Dortmund,Bundesliga,€3.00m
17,Vukasin Jovanovic,Centre-Back,21,1.0,Serbia,Zenit S-Pb,Premier Liga,G. Bordeaux,Ligue 1,€3.00m
17,Julian Korb,Right-Back,25,3.0,Germany,Bor. M'gladbach,Bundesliga,Hannover 96,Bundesliga,€3.00m
17,Marcel Tisserand,Centre-Back,24,3.0,DR Congo,FC Ingolstadt,2. Bundesliga,VfL Wolfsburg,Bundesliga,Loan fee:€3.00m
17,Vágner Love,Centre-Forward,33,2.5,Brazil,Alanyaspor,Süper Lig,Besiktas,Süper Lig,€3.00m
17,Nemanja Radonjić,Left Winger,21,3.0,Serbia,AS Roma,Serie A,Red Star,Super liga,€3.00m
17,Brandon Thomas,Centre-Forward,22,8.0,Spain,RCD Mallorca,2ª B - Grupo III,Stade Rennais,Ligue 1,€3.00m
17,Florinel Coman,Left Winger,19,1.5,Romania,FC Viitorul,Liga 1,FCSB,Liga 1,€3.00m
17,Andrea Favilli,Centre-Forward,20,2.0,Italy,AS Livorno,Serie C-A,Ascoli,Serie B,€3.00m
17,Bram Nuytinck,Centre-Back,27,2.0,Netherlands,RSC Anderlecht,JPL,Udinese Calcio,Serie A,€3.00m
17,Nico Schulz,Left-Back,24,2.0,Germany,Bor. M'gladbach,Bundesliga,TSG Hoffenheim,Bundesliga,€3.00m
17,Francesco Caputo,Centre-Forward,30,1.4,Italy,Virtus Entella,Serie B,FC Empoli,Serie B,€3.00m
17,Fabian Schär,Centre-Back,25,2.5,Switzerland,TSG Hoffenheim,Bundesliga,Dep. La Coruña,LaLiga,€3.00m
17,Fabián Orellana,Right Winger,31,3.0,Chile,Celta de Vigo,LaLiga,Valencia,LaLiga,€3.00m
17,Rick van Drongelen,Centre-Back,18,9.0,Netherlands,Sparta R.,Eredivisie,Hamburger SV,Bundesliga,€3.00m
17,Mathew Leckie,Left Winger,26,2.5,Australia,FC Ingolstadt,2. Bundesliga,Hertha BSC,Bundesliga,€3.00m
17,Jiri Pavlenka,Goalkeeper,25,1.5,Czech Republic,Slavia Prague,HET Liga,Werder Bremen,Bundesliga,€3.00m
17,Carlos Peña,Attacking Midfield,27,2.5,Mexico,Chivas,Liga MX Apertura,Rangers,Premiership,€3.00m
17,Jordi Mboula,Right Winger,18,2.0,Spain,Barça U19,Without Club,Monaco,Ligue 1,€3.00m
17,Tomas Koubek,Goalkeeper,25,1.5,Czech Republic,Sparta Prague,HET Liga,Stade Rennais,Ligue 1,€3.00m
17,Sead Haksabanovic,Left Winger,18,4.0,Montenegro,Halmstads BK,Allsvenskan,West Ham,Premier League,€3.00m
17,Antonín Barák,Attacking Midfield,22,2.5,Czech Republic,Slavia Prague,HET Liga,Udinese Calcio,Serie A,€3.00m
17,Carlos Sánchez,Defensive Midfield,31,3.0,Colombia,Aston Villa,Championship,Fiorentina,Serie A,€3.00m
17,Roderick Miranda,Centre-Back,26,2.5,Portugal,Rio Ave,Liga NOS,Wolves,Championship,€3.00m
17,Mikel Merino,Central Midfield,21,2.5,Spain,Bor. Dortmund,Bundesliga,Newcastle,Premier League,Loan fee:€3.00m
17,Joost van Aken,Centre-Back,23,2.0,Netherlands,Heerenveen,Eredivisie,Sheff Wed,Championship,€3.00m
17,Burgui,Left Winger,23,1.5,Spain,Real Madrid,LaLiga,Alavés,LaLiga,€3.00m
17,Dimitrios Siovas,Centre-Back,28,2.0,Greece,Olympiacos,Super League 1,CD Leganés,LaLiga,€3.00m
17,Marvelous Nakamba,Defensive Midfield,23,3.0,Zimbabwe,Vitesse,Eredivisie,Club Brugge,JPL,€3.00m
17,Felipe Carballo,Central Midfield,20,3.0,Uruguay,Nacional,Primera División Clausura,Sevilla Atl.,2ª División,€3.00m
17,Andrei Ivan,Left Winger,20,1.8,Romania,CS U Craiova,Liga 1,Krasnodar,Premier Liga,€3.00m
17,Diego Rossi,Attacking Midfield,19,7.5,Uruguay,Peñarol,Primera División Clausura,LAFC,MLS,€3.00m
17,Simon Falette,Centre-Back,25,3.0,Guinea,FC Metz,Ligue 1,E. Frankfurt,Bundesliga,€2.70m
17,Dodi Lukébakio,Right Winger,20,3.0,Belgium,RSC Anderlecht,JPL,R Charleroi SC,JPL,€2.60m
17,Andreas Beck,Right-Back,30,3.0,Germany,Besiktas,Süper Lig,VfB Stuttgart,Bundesliga,€2.50m
17,Felipe Caicedo,Centre-Forward,28,3.0,Ecuador,Espanyol,LaLiga,Lazio,Serie A,€2.50m
17,Emmanuel Emenike,Centre-Forward,30,3.0,Nigeria,Fenerbahce,Süper Lig,Olympiacos,Super League 1,€2.50m
17,Uche Agbo,Defensive Midfield,21,3.0,Nigeria,Watford,Premier League,Standard Liège,JPL,€2.50m
17,Semih Kaya,Centre-Back,26,3.0,Türkiye,Galatasaray,Süper Lig,Sparta Prague,HET Liga,€2.00m
17,Marcel Franke,Centre-Back,24,1.5,Germany,Greuther Fürth,2. Bundesliga,Norwich,Championship,€3.00m
17,Thomas Touré,Left Winger,23,1.5,Cote d'Ivoire,G. Bordeaux,Ligue 1,Angers SCO,Ligue 1,€3.00m
17,Amath Ndiaye,Right Winger,21,1.0,Senegal,Atlético Madrid,LaLiga,Getafe,LaLiga,€3.00m
17,Luizão,Defensive Midfield,19,0,Brazil,São Paulo,Série A,FC Porto B,Ledman LigaPro,€3.00m
17,Augusto Galvan,Attacking Midfield,18,0,Brazil,São Paulo,Série A,Real Madrid U19,Spain,€3.00m
17,Cristiano Piccini,Centre-Back,24,3.0,Italy,Real Betis,LaLiga,Sporting CP,Liga NOS,€2.87m
17,Viktor Fischer,Left Winger,23,3.0,Denmark,1.FSV Mainz 05,Bundesliga,FC Copenhagen,Superliga,€2.70m
17,Fred,Centre-Forward,34,3.0,Brazil,Atlético-MG,Série A,Cruzeiro,Série A,€2.55m
17,Zouhair Feddal,Centre-Back,27,3.0,Morocco,Alavés,LaLiga,Real Betis,LaLiga,€2.50m
17,Ezgjan Alioski,Left-Back,25,3.0,North Macedonia,FC Lugano,Super League,Leeds,Championship,€2.50m
17,Ezequiel Muñoz,Centre-Back,26,3.0,Argentina,Genoa,Serie A,CD Leganés,LaLiga,€2.50m
17,Mamadou Sylla,Centre-Forward,23,3.0,Senegal,Espanyol,LaLiga,KAS Eupen,JPL,€2.30m
17,Jagos Vukovic,Centre-Back,29,3.0,Serbia,Konyaspor,Süper Lig,Olympiacos,Super League 1,€2.00m
17,Kenan Kodro,Centre-Forward,23,3.0,Bosnia-Herzegovina,CA Osasuna,2ª División,1.FSV Mainz 05,Bundesliga,€1.75m
17,Mathieu Valbuena,Attacking Midfield,32,3.0,France,Olympique Lyon,Ligue 1,Fenerbahce,Süper Lig,€1.50m
17,Leandro Bacuna,Right-Back,25,3.0,Curacao,Aston Villa,Championship,Reading,Championship,€1.50m
17,Andrés Chávez,Centre-Forward,26,3.0,Argentina,Panathinaikos,Super League 1,Huracán,Superliga,€1.30m
17,Yusuf Erdoğan,Left Winger,25,3.0,Türkiye,Trabzonspor,Süper Lig,Bursaspor,Süper Lig,€1.00m
17,Guélor Kanga,Central Midfield,27,3.0,Gabon,Red Star,Super liga,Sparta Prague,HET Liga,€1.00m
17,Gregory van der Wiel,Right-Back,29,3.0,Netherlands,Fenerbahce,Süper Lig,Cagliari Calcio,Serie A,€1.00m
17,Everton Luiz,Defensive Midfield,29,3.0,Brazil,Partizan,Super liga,SPAL,Serie A,€700k
17,Arturo Mina,Centre-Back,26,3.0,Ecuador,River Plate,Superliga,Y. Malatyaspor,Süper Lig,€680k
17,Jonathan Silva,Left-Back,23,3.0,Argentina,Sporting CP,Liga NOS,AS Roma,Serie A,Loan fee:€500k
17,Imoh Ezekiel,Centre-Forward,23,3.0,Nigeria,Al-Arabi SC,Stars League,Konyaspor,Süper Lig,€500k
17,Nikola Stojiljkovic,Centre-Forward,25,3.0,Serbia,SC Braga,Liga NOS,Kayserispor,Süper Lig,Loan fee:€500k
17,Paul-José Mpoku,Attacking Midfield,25,3.0,DR Congo,Chievo Verona,Serie A,Standard Liège,JPL,€1.80m
17,Modou Barrow,Left Winger,24,3.0,The Gambia,Swansea,Premier League,Reading,Championship,€1.70m
17,Federico Mancuello,Central Midfield,28,3.0,Argentina,Flamengo,Série A,Cruzeiro,Série A,€1.50m
17,Ángelo Henríquez,Centre-Forward,23,3.0,Chile,Dinamo Zagreb,SuperSport HNL,Atlas,Liga MX Apertura,€1.50m
17,Diogo Figueiras,Right-Back,26,3.0,Portugal,Olympiacos,Super League 1,SC Braga,Liga NOS,€1.25m
17,Sebastian Langkamp,Centre-Back,30,3.0,Germany,Hertha BSC,Bundesliga,Werder Bremen,Bundesliga,€1.00m
17,Pedro Mendes,Centre-Back,26,3.0,Portugal,Stade Rennais,Ligue 1,Montpellier,Ligue 1,€1.00m
17,Clinton Mata,Right-Back,24,3.0,Angola,R Charleroi SC,JPL,KRC Genk,JPL,Loan fee:€850k
17,Pedro Henrique,Right Winger,27,3.0,Brazil,PAOK Salonika,Super League 1,Qarabag FK,Premyer Liqa,Loan fee:€700k
17,Martín Cáceres,Centre-Back,30,3.0,Uruguay,Hellas Verona,Serie A,Lazio,Serie A,€600k
17,Valentino Lazaro,Left Midfield,21,3.0,Austria,RB Salzburg,Bundesliga,Hertha BSC,Bundesliga,Loan fee:€500k
17,Eren Albayrak,Left-Back,26,3.0,Türkiye,Basaksehir,Süper Lig,Konyaspor,Süper Lig,€500k
17,Amato Ciciretti,Right Winger,24,3.0,Italy,Benevento,Serie A,Parma,Serie B,Loan fee:€280k
17,Jirès Kembo Ekoko,Right Winger,29,3.0,France,Al-Nasr,UAE Pro League,Bursaspor,Süper Lig,free transfer
17,Yann Karamoh,Left Winger,19,3.0,France,SM Caen,Ligue 1,Inter,Serie A,loan transfer
17,Pepe,Centre-Back,34,3.0,Portugal,Real Madrid,LaLiga,Besiktas,Süper Lig,free transfer
17,Valeri Qazaishvili,Left Winger,24,3.0,Georgia,Vitesse,Eredivisie,San Jose,MLS,?
17,Lewis Grabban,Centre-Forward,29,3.0,Jamaica,Bournemouth,Premier League,Sunderland,Championship,loan transfer
17,Adam Maher,Central Midfield,24,3.0,Netherlands,PSV Eindhoven,Eredivisie,Twente FC,Eredivisie,free transfer
17,André Pinto,Centre-Back,27,3.0,Portugal,SC Braga,Liga NOS,Sporting CP,Liga NOS,free transfer
17,Cheikh N'Doye,Central Midfield,31,3.0,Senegal,Angers SCO,Ligue 1,Birmingham,Championship,free transfer
17,Jon Flanagan,Right-Back,25,3.0,England,Liverpool,Premier League,Bolton,Championship,loan transfer
17,Lewis Grabban,Centre-Forward,30,3.0,Jamaica,Bournemouth,Premier League,Aston Villa,Championship,loan transfer
17,Oussama Tannane,Attacking Midfield,23,3.0,Morocco,Saint-Étienne,Ligue 1,UD Las Palmas,LaLiga,loan transfer
17,John Ruddy,Goalkeeper,30,3.0,England,Norwich,Championship,Wolves,Championship,free transfer
17,Théo Bongonda,Right Winger,21,3.0,DR Congo,Celta de Vigo,LaLiga,Trabzonspor,Süper Lig,Loan fee:€200k
17,Léo Lacroix,Centre-Back,25,3.0,Switzerland,Saint-Étienne,Ligue 1,FC Basel,Super League,loan transfer
17,Kenny Saief,Left Midfield,24,3.0,United States,KAA Gent,JPL,RSC Anderlecht,JPL,loan transfer
17,Antonio Barragán,Right-Back,30,3.0,Spain,Middlesbrough,Championship,Real Betis,LaLiga,loan transfer
17,Brendan Galloway,Centre-Back,21,3.0,Zimbabwe,Everton,Premier League,Sunderland,Championship,loan transfer
17,Haris Seferovic,Centre-Forward,25,3.0,Switzerland,E. Frankfurt,Bundesliga,Benfica,Liga NOS,free transfer
17,Pajtim Kasami,Central Midfield,25,3.0,Switzerland,Olympiacos,Super League 1,FC Sion,Super League,free transfer
17,Jérémy Mathieu,Left-Back,33,3.0,France,Barcelona,LaLiga,Sporting CP,Liga NOS,free transfer
17,Carlos Zambrano,Centre-Back,28,3.0,Peru,Rubin Kazan,Premier Liga,Dynamo Kyiv,Premier Liga,free transfer
17,Cameron Borthwick-Jackson,Left-Back,20,3.0,England,Man Utd U23,Premier League 2,Leeds,Championship,loan transfer
17,Mario Gavranovic,Centre-Forward,28,3.0,Switzerland,HNK Rijeka,SuperSport HNL,Dinamo Zagreb,SuperSport HNL,?
17,Felix Passlack,Right-Back,19,3.0,Germany,Bor. Dortmund,Bundesliga,TSG Hoffenheim,Bundesliga,loan transfer
17,Hernanes,Attacking Midfield,32,3.0,Brazil,HB CFFC,Super League,São Paulo,Série A,loan transfer
17,Zoran Tosic,Right Winger,30,3.0,Serbia,CSKA Moscow,Premier Liga,Partizan,Super liga,free transfer
17,Sergio García,Centre-Forward,34,3.0,Spain,Al-Rayyan,Stars League,Espanyol,LaLiga,free transfer
17,Federico Valverde,Central Midfield,18,3.0,Uruguay,RM Castilla,2ª B - Grupo I,Dep. La Coruña,LaLiga,loan transfer
17,Matt Targett,Left-Back,22,3.0,England,Southampton,Premier League,Fulham,Championship,loan transfer
17,Frickson Erazo,Centre-Back,29,3.0,Ecuador,Atlético-MG,Série A,Vasco da Gama,Série A,loan transfer
17,Aaron Tshibola,Central Midfield,22,3.0,DR Congo,Aston Villa,Championship,MK Dons,League One,loan transfer
17,Nemanja Maksimovic,Central Midfield,22,3.0,Serbia,FC Astana,Premier Liga,Valencia,LaLiga,free transfer
17,Maxime Lestienne,Right Winger,25,3.0,Belgium,Rubin Kazan,Premier Liga,Málaga CF,LaLiga,free transfer
17,Ricardo van Rhijn,Right-Back,26,3.0,Netherlands,Club Brugge,JPL,AZ Alkmaar,Eredivisie,loan transfer
17,Rémi Walter,Central Midfield,22,3.0,France,OGC Nice,Ligue 1,Troyes,Ligue 1,loan transfer
17,Claudio Beauvue,Centre-Forward,29,3.0,Guadeloupe,Celta de Vigo,LaLiga,CD Leganés,LaLiga,loan transfer
17,Leandro Castán,Centre-Back,31,3.0,Brazil,AS Roma,Serie A,Cagliari Calcio,Serie A,loan transfer
17,Olarenwaju Kayode,Centre-Forward,24,3.0,Nigeria,Man City,Premier League,Shakhtar D.,Premier Liga,loan transfer
17,Mehdi Carcela-González,Right Winger,28,3.0,Morocco,Granada CF,2ª División,Olympiacos,Super League 1,loan transfer
17,Manuel Pucciarelli,Second Striker,26,3.0,Italy,FC Empoli,Serie B,Chievo Verona,Serie A,loan transfer
17,Costel Pantilimon,Goalkeeper,30,3.0,Romania,Watford,Premier League,Dep. La Coruña,LaLiga,loan transfer
17,Yohan Mollo,Right Winger,28,3.0,France,Zenit S-Pb,Premier Liga,Fulham,Championship,free transfer
17,Giovanni Augusto,Attacking Midfield,28,3.0,Brazil,Corinthians,Série A,Vasco da Gama,Série A,loan transfer
17,Marcos Rocha,Right-Back,29,3.0,Brazil,Atlético-MG,Série A,Palmeiras,Série A,loan transfer
17,Jefferson,Left-Back,28,3.0,Brazil,Sporting CP,Liga NOS,SC Braga,Liga NOS,loan transfer
17,Adrián González,Central Midfield,29,3.0,Spain,SD Eibar,LaLiga,Málaga CF,LaLiga,free transfer
17,Carlos Zambrano,Centre-Back,28,3.0,Peru,Rubin Kazan,Premier Liga,PAOK Salonika,Super League 1,loan transfer
17,Youssef Aït Bennasser,Defensive Midfield,21,3.0,Morocco,Monaco,Ligue 1,SM Caen,Ligue 1,loan transfer
17,Ricardo Kishna,Left Winger,22,3.0,Netherlands,Lazio,Serie A,ADO Den Haag,Eredivisie,loan transfer
17,José Juan Vázquez,Defensive Midfield,29,3.0,Mexico,Chivas,Liga MX Apertura,Santos Laguna,Liga MX Apertura,?
17,Aderllan Santos,Centre-Back,29,3.0,Brazil,Valencia,LaLiga,EC Vitória,Série A,loan transfer
17,Abdou Traoré,Attacking Midfield,28,3.0,Burkina Faso,Karabükspor,Süper Lig,Konyaspor,Süper Lig,free transfer
17,Andrés Cubas,Defensive Midfield,21,3.0,Paraguay,Boca Juniors,Superliga,Defensa,Superliga,loan transfer
17,Michael Hector,Centre-Back,25,3.0,Jamaica,Chelsea,Premier League,Hull City,Championship,loan transfer
17,Théo Bongonda,Right Winger,22,3.0,DR Congo,Celta de Vigo,LaLiga,Zulte Waregem,JPL,loan transfer
17,Edson Puch,Left Winger,31,3.0,Chile,Pachuca,Liga MX Apertura,Querétaro FC,Liga MX Apertura,loan transfer
17,Aurélien Chedjou,Centre-Back,32,3.0,Cameroon,Galatasaray,Süper Lig,Basaksehir,Süper Lig,free transfer
17,Muriqui,Left Winger,31,3.0,Brazil,Vasco da Gama,Série A,GZ Evergrande,Super League,free transfer
17,Adem Büyük,Centre-Forward,30,3.0,Türkiye,Kasimpasa,Süper Lig,Y. Malatyaspor,Süper Lig,free transfer
17,Paul Arriola,Right Winger,22,1.2,United States,Club Tijuana,Liga MX Apertura,D.C. United,MLS,€2.91m
17,Emmanuel Boateng,Centre-Forward,21,1.5,Ghana,Moreirense,Liga NOS,Levante,LaLiga,€2.90m
17,Tyler Roberts,Attacking Midfield,19,2.5,Wales,West Brom U21,Premier League 2,Leeds,Championship,€2.85m
17,Gonzalo Rodríguez,Centre-Back,33,3.0,Argentina,Fiorentina,Serie A,San Lorenzo,Superliga,free transfer
17,Andy King,Central Midfield,29,3.0,Wales,Leicester,Premier League,Swansea,Premier League,loan transfer
17,Sergiy Rybalka,Defensive Midfield,27,3.0,Ukraine,Dynamo Kyiv,Premier Liga,Sivasspor,Süper Lig,loan transfer
17,Joe Mason,Centre-Forward,26,3.0,Ireland,Wolves,Championship,Burton Albion,Championship,loan transfer
17,Guillermo Ochoa,Goalkeeper,31,3.0,Mexico,Málaga CF,LaLiga,Standard Liège,JPL,free transfer
17,Rolando Mandragora,Defensive Midfield,20,3.0,Italy,Juventus,Serie A,Crotone,Serie A,loan transfer
17,Lucca,Left Winger,28,3.0,Brazil,Corinthians,Série A,Internacional,Série A,loan transfer
17,Mevlüt Erdinç,Centre-Forward,30,3.0,Türkiye,Hannover 96,Bundesliga,Basaksehir,Süper Lig,free transfer
17,Marc Muniesa,Centre-Back,25,3.0,Spain,Stoke City,Premier League,Girona,LaLiga,loan transfer
17,Lucas Mendes,Centre-Back,27,3.0,Qatar,El-Jaish,Without Club,Al-Duhail SC,Stars League,free transfer
17,Tal Ben Haim,Left Winger,27,7.5,Israel,M. Tel Aviv,Ligat ha'Al,Sparta Prague,HET Liga,€2.90m
17,Fahad Al-Muwallad,Right Winger,23,2.9,Saudi Arabia,Al-Ittihad,Saudi Pro League,Levante,LaLiga,loan transfer
17,Ethan Ampadu,Defensive Midfield,16,0,Wales,Exeter City,League Two,Chelsea,Premier League,€2.80m
17,Rodrigo Ely,Centre-Back,23,2.0,Brazil,AC Milan,Serie A,Alavés,LaLiga,€2.80m
17,Ianis Hagi,Attacking Midfield,19,7.5,Romania,Fiorentina,Serie A,FC Viitorul,Liga 1,€2.80m
17,Fernando Zuqui,Central Midfield,25,2.8,Argentina,Boca Juniors,Superliga,Estudiantes LP,Superliga,€850k
17,Davide Di Gennaro,Attacking Midfield,29,2.8,Italy,Cagliari Calcio,Serie A,Lazio,Serie A,free transfer
17,Josip Misic,Defensive Midfield,23,2.35,Croatia,HNK Rijeka,SuperSport HNL,Sporting CP,Liga NOS,€2.75m
17,Nahitan Nández,Central Midfield,21,2.75,Uruguay,Peñarol,Primera División Clausura,Boca Juniors,Superliga,€2.50m
17,Augusto Solari,Right Midfield,25,2.75,Argentina,River Plate,Superliga,Racing Club,Superliga,€2.00m
17,Gastón Giménez,Defensive Midfield,26,2.75,Paraguay,Godoy Cruz,Superliga,Estudiantes LP,Superliga,€1.00m
17,Erik Sviatchenko,Centre-Back,26,2.75,Denmark,Celtic,Premiership,FC Midtjylland,Superliga,loan transfer
